

Tue Mar 10 17:13:37 2020:INFO:127.0.0.1:GET:/index:Acesso a pagina principal:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:13:46 2020:INFO:127.0.0.1:GET:/product:Usuario não logado:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:13:46 2020:INFO:127.0.0.1:GET:/login:Acesso a pagina login:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:13:55 2020:INFO:127.0.0.1:POST:/login:Acesso a pagina login:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:13:55 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:14:03 2020:INFO:127.0.0.1:GET:/login:Acesso a pagina login:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:14:03 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:14:15 2020:INFO:127.0.0.1:GET:/users:Usuario logado na pagina users:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:14:18 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:14:25 2020:INFO:127.0.0.1:GET:/index:Acesso a pagina principal:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:15:59 2020:INFO:127.0.0.1:GET:/index:Acesso a pagina principal:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:15:59 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:09 2020:INFO:127.0.0.1:GET:/index:Acesso a pagina principal:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:12 2020:INFO:127.0.0.1:GET:/login:Acesso a pagina login:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:19 2020:INFO:127.0.0.1:POST:/login:Acesso a pagina login:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:20 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:22 2020:INFO:127.0.0.1:GET:/users:Usuario logado na pagina users:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:23 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:34 2020:INFO:127.0.0.1:GET:/products:Pagina não encontrada:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:16:50 2020:INFO:127.0.0.1:GET:/products:Usuario logado com acesso ao produto Torta Confeitada:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:18:17 2020:INFO:127.0.0.1:GET:/product:Usuario logado na pagina product:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:18:29 2020:INFO:127.0.0.1:GET:/product:Usuario não logado:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:18:29 2020:INFO:127.0.0.1:GET:/login:Acesso a pagina login:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
Tue Mar 10 17:18:40 2020:INFO:127.0.0.1:GET:/index:Acesso a pagina principal:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
